date,key,asin,item_id,title,price,currency,available
2026-08-18,0300270968,0300270968,I3MRWHZEMQ9570,King Dollar: The Past and Future of the World's Dominant Currency,16.15,USD,true
2026-08-18,B001418KNS,B001418KNS,I16KSENF3QNH7U,Urnex Espresso Machine Cleaning Powder - 566 grams - Cafiza Professional Espresso Machine Cleaner,19.99,USD,true
2026-08-18,B00NX627HW,B00NX627HW,I39GQ1MYSMXZUB,"Carcassonne Tile Placement Strategy Board Game, 2-5 Players, 35 Min",31.99,USD,true
2026-08-18,B01IABPSNY,B01IABPSNY,I195N4YEVSUMSY,Gaggia Decalcifier Descaler Solution 250ml (2 Bottles),14.59,USD,true
2026-08-18,B01LP0U5X0,B01LP0U5X0,IC4SNMHJX2KW,Amazon Basics Extra Thick Exercise Yoga Mat with Carrying Strap,22.48,USD,true
2026-08-18,B076QDH9MY,B076QDH9MY,IE2DRY6MIIVNN,Z-MAN Evergreen Jack Hammer Chatterbait 3/8 Oz,22.24,USD,true
2026-08-18,B079ZPLL97,B079ZPLL97,ISYIWW6FMCFC7,"ONO Roller - Handheld Fidget Toy for Adults | Help Relieve Stress, Anxiety, Tension | Promotes Focus, Clarity | Compact, Portable Design (Black, Full Size - Aluminum)",40.00,USD,true
2026-08-18,B07BL7JXHV,B07BL7JXHV,I10ABVCUFJXPGO,"Travelpro Maxlite 5 Softside Carry-On Luggage Spinner, Black, 21-Inch | Expandable With 4 Wheels, Lightweight & Versatile Travel Design, Men & Women",160.00,USD,true
2026-08-18,B07GNDDNMW,B07GNDDNMW,I3NSX8I0OF132Q,"SIHOO M18 Ergonomic Office Chair, Mesh Back Desk Chair with Headrest | Adjustable Lumbar Support, Hold 330lbs Computer Chair with 2D Armrests & Wide Cushion, Tilt Lock, for Home Office - Black",132.53,USD,true
2026-08-18,B07WCR5Y4B,B07WCR5Y4B,I36EXJIRO7KRZP,TempPro TP49 Digital Hygrometer Indoor Thermometer | Humidity Meter Room Thermometer with Temperature and Humidity Monitor Mini Hygrometer (Previously ThermoPro),9.99,USD,true
2026-08-18,B07WMQP4SF,B07WMQP4SF,I1PE7Z66TXXHPS,"Homaxy 100% Cotton Waffle Weave Kitchen Dish Cloths 6-Pack, Dark Grey | 12 x 12 Inches, Ultra Soft Absorbent Dish Towels, Quick Drying Dish Rags with Hanging Loop",8.98,USD,true
2026-08-18,B081JKZ5H9,B081JKZ5H9,I2E6D01I4EUXHN,"watchget Coffee Machine Cleaning Brush Set, 1 Brush + 58mm Backflush Insert | 1Pc Coffee Machine Brush with Spoon & 1 Pc 58mm Stainless Steel Backflush Insert, Metal Blind Filter for Espresso Machine",8.99,USD,true
2026-08-18,B08F65MX4L,B08F65MX4L,IRYBV735I6FQY,"Asmodee 7 Wonders Board Game (New Edition) - Lead Your Civilization to Prosperity, Strategy Game for Kids and Adults, Ages 10+, 3-7 Players, 30 Minute Playtime | Lead your civilization through three Ages and build one of history's greatest wonders. Ages 10+, 3-7 Players, 30 Min.",59.99,USD,true
2026-08-18,B08HLVDCZW,B08HLVDCZW,I2HHXMWKNI7UL1,"Piscifun Speed X Fishing Line Spool No Twist Adjustable Handle for Reels | Aluminium handle, Fits spinning/bait/spincast reels, Prevents line twists, Smooth unwinding for easy spooling",29.99,USD,true
2026-08-18,B093H8RGXX,B093H8RGXX,I1TLY12MG73F4K,"Cascadia, Award-Winning Cozy Nature Board Game Set in the Pacific Northwest | 1-4 Players, Ages 10+, 30-45 Mins, Relaxing Tile-Laying",37.73,USD,true
